ID,gender,group,time,neg,pos
123,1,1,3,1.0041,5.05145
123,1,1,4,1.06667,4.16667
124,0,1,1,2.99533,4.66667
124,0,1,2,1.46667,4.43147
124,0,1,3,2.14916,2.47456
124,0,1,4,2.38408,4.15671
125,0,1,1,3.185,3.08333
125,0,1,2,3,2.03365
125,0,1,3,3,3.19333
125,0,1,4,4.46667,1.66667
126,0,0,1,1.0056,3.75
126,0,0,2,1,4.12833
126,0,0,3,1.26667,4.27667
126,0,0,4,1.33333,4
127,1,0,1,2.1725,3.83333
127,1,0,2,1.06667,4.545
127,1,0,3,2.33333,4.52667
127,1,0,4,2.23592,4.41667
128,1,0,1,3.25149,3
128,1,0,2,1.2,1.96167
128,1,0,3,1.4,4.02667
128,1,0,4,1,4.75
129,0,0,1,1.35423,4
129,0,0,2,2.13333,2.71167
129,0,0,3,2.53933,2.3704
129,0,0,4,2.26667,3.33333
130,1,1,1,1.66868,3.4675
130,1,1,2,2.41762,3.93039
130,1,1,3,2.4008,4.8231
130,1,1,4,1.92548,4.68173
131,1,1,1,3.14596,2.66667
131,1,1,2,1.86667,3.08751
131,1,1,3,2.05693,3.7946
131,1,1,4,1.6463,3.32408
132,1,1,1,1.67355,5
132,1,1,2,1.26667,4.62833
132,1,1,3,1.67605,4.99626
132,1,1,4,2.32012,4.83311
133,0,0,1,1.34464,4.66667
133,0,0,2,1.06667,4.21308
133,0,0,3,1.51854,4.06315
133,0,0,4,2.10872,3.96496
134,1,0,1,2.62285,4.75
134,1,0,2,2.46667,4.545
134,1,0,3,2.2,5.02667
134,1,0,4,2.11638,4.83333
135,1,1,1,2.0139,4.25
135,1,1,2,1.73333,4.57153
135,1,1,3,1.54286,4.93017
135,1,1,4,2.07701,4.36481
136,0,0,1,3.22628,3.5
136,0,0,2,1.73333,3.07886
136,0,0,3,1.0607,3.95684
136,0,0,4,1.48753,2.08333
137,0,0,1,1.28658,4.83333
137,0,0,2,1.53333,4.62833
137,0,0,3,1.26667,4.77667
137,0,0,4,1.16227,4.66667
138,0,1,1,1.56363,1.58333
138,0,1,2,1.46667,3.24235
138,0,1,3,3.01851,3.86726
138,0,1,4,1.26667,2.41667
139,0,0,1,1.88742,3.41667
139,0,0,2,1.83333,4.49036
139,0,0,3,2.05756,3.29461
139,0,0,4,2.23405,4.61144
140,1,0,1,1.67362,4.5
140,1,0,2,2.53333,3.24657
140,1,0,3,1.61862,4.972
140,1,0,4,1.79104,3.15981
141,0,0,1,3.88272,2.8895
141,0,0,2,1,4.545
141,0,0,3,4.26667,4.86
141,0,0,4,4.2,4.66667
142,1,0,1,1.24001,5
142,1,0,2,1.13333,4.46167
142,1,0,3,1.33333,4.69333
142,1,0,4,1,4.08333
143,0,0,1,4.39463,2.02292
143,0,0,2,3.67101,2.23504
143,0,0,3,2.73333,1.52667
143,0,0,4,3.41667,3
144,1,0,1,1.74453,2.75
144,1,0,2,2.06667,2.71167
144,1,0,3,2.76814,4.1624
144,1,0,4,1,4.9978
145,1,0,1,1.09675,2
145,1,0,2,1.73333,4.25181
145,1,0,3,1.33333,4.77667
145,1,0,4,1.66667,4.83333
146,1,0,1,2.13859,2.6961
146,1,0,2,2.76814,3.38855
146,1,0,3,2.73333,3.77667
146,1,0,4,2.43105,4.58348
147,0,0,1,2.43157,3.16667
147,0,0,2,2.46667,3.76369
147,0,0,3,2.36826,4.17369
147,0,0,4,1.66667,3.41667
148,1,1,1,2.63257,2.33333
148,1,1,2,2,3.67648
148,1,1,3,2.08331,2.59185
148,1,1,4,1.12406,4.40667
149,1,0,1,2.28311,4.03538
149,1,0,2,1.93611,4.30442
149,1,0,3,1.75842,4.16043
149,1,0,4,1.63414,4.52473
150,0,0,1,3.41648,1.87617
150,0,0,2,2.03491,4.04858
150,0,0,3,2.93333,3.77667
150,0,0,4,2.87961,4.50122
151,1,0,1,2.64893,2.92019
151,1,0,2,1.69602,2.41392
151,1,0,3,1.66667,3.86
